review_id;order_id;review_score;review_comment_title;review_comment_message;review_creation_date;review_answer_timestamp;;;TABLA;
23f75a37effc35d9a915b4e1ad483793;2eaf8e099d871cd5c22b83b5ea8f6e0e;4;;;28/03/2018 0:00;30/03/2018 15:10;;;resena;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('23f75a37effc35d9a915b4e1ad483793','2eaf8e099d871cd5c22b83b5ea8f6e0e','4','','','28/03/2018','30/03/2018')
9a0abbb668bafb95a6d2b05db43284c4;d7bd0e4afdf94846eb73642b4e3e75c3;3;;;30/04/2017 0:00;03/05/2017 0:02;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('9a0abbb668bafb95a6d2b05db43284c4','d7bd0e4afdf94846eb73642b4e3e75c3','3','','','30/04/2017','03/05/2017')
3948b09f7c818e2d86c9a546758b2335;e51478e7e277a83743b6f9991dbfa3fb;5;Super recomendo;Vendedor confiável, produto ok e entrega antes do prazo.;23/05/2018 0:00;24/05/2018 3:00;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('3948b09f7c818e2d86c9a546758b2335','e51478e7e277a83743b6f9991dbfa3fb','5','Super recomendo','Vendedor confiável, produto ok e entrega antes do prazo.','23/05/2018','24/05/2018')
9314d6f9799f5bfba510cc7bcd468c01;0dacf04c5ad59fd5a0cc1faa07c34e39;2;;GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU;18/01/2018 0:00;20/01/2018 21:25;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('9314d6f9799f5bfba510cc7bcd468c01','0dacf04c5ad59fd5a0cc1faa07c34e39','2','','GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU','18/01/2018','20/01/2018')
8e15a274d95600fa14f8be64e37a0e67;ff1581e08b3011021e7c7de592ddc81e;5;;;24/03/2018 0:00;26/03/2018 15:58;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('8e15a274d95600fa14f8be64e37a0e67','ff1581e08b3011021e7c7de592ddc81e','5','','','24/03/2018','26/03/2018')
fdbdb2629a7cde0f66657acc92084e7f;70a752414a13d09cc1f2b437b914b28e;3;;;29/09/2017 0:00;02/10/2017 1:12;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('fdbdb2629a7cde0f66657acc92084e7f','70a752414a13d09cc1f2b437b914b28e','3','','','29/09/2017','02/10/2017')
373cbeecea8286a2b66c97b1b157ec46;583174fbe37d3d5f0d6661be3aad1786;1;Não chegou meu produto ;Péssimo;15/08/2018 0:00;15/08/2018 4:10;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('373cbeecea8286a2b66c97b1b157ec46','583174fbe37d3d5f0d6661be3aad1786','1','Não chegou meu produto ','Péssimo','15/08/2018','15/08/2018')
a2ff510ca4e059c3fefc7a7866571f6f;a9953b2f0b1665ac7586cc5a6ac8f58c;4;;;06/10/2017 0:00;08/10/2017 22:36;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('a2ff510ca4e059c3fefc7a7866571f6f','a9953b2f0b1665ac7586cc5a6ac8f58c','4','','','06/10/2017','08/10/2017')
80c70bc263881ba6525f6cee1d94ac87;ae168dfba236919411fe08f336fefa44;5;;;17/03/2018 0:00;04/04/2018 19:41;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('80c70bc263881ba6525f6cee1d94ac87','ae168dfba236919411fe08f336fefa44','5','','','17/03/2018','04/04/2018')
d21bbc789670eab777d27372ab9094cc;4fc44d78867142c627497b60a7e0228a;5;Ótimo;Loja nota 10;10/07/2018 0:00;11/07/2018 14:10;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('d21bbc789670eab777d27372ab9094cc','4fc44d78867142c627497b60a7e0228a','5','Ótimo','Loja nota 10','10/07/2018','11/07/2018')
7bcb3c758c67f23638262c731493e848;7c9956750739a47dba7a6928ba2f0245;5;;;09/09/2017 0:00;17/10/2017 2:25;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('7bcb3c758c67f23638262c731493e848','7c9956750739a47dba7a6928ba2f0245','5','','','09/09/2017','17/10/2017')
0e0190b9db53b689b285d3f3916f8441;79832b7cb59ac6f887088ffd686e1d5e;5;;obrigado pela atençao amim dispensada;01/12/2017 0:00;09/12/2017 22:58;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('0e0190b9db53b689b285d3f3916f8441','79832b7cb59ac6f887088ffd686e1d5e','5','','obrigado pela atençao amim dispensada','01/12/2017','09/12/2017')
66e4430c5bc6b7e3773886bf1c14d912;84cec4f65c7a4f2f54c294a30224a594;5;;;23/06/2017 0:00;27/06/2017 0:52;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('66e4430c5bc6b7e3773886bf1c14d912','84cec4f65c7a4f2f54c294a30224a594','5','','','23/06/2017','27/06/2017')
2c5e27fc178bde7ac173c9c62c31b070;0ce9a24111d850192a933fcaab6fbad3;1;;Não gostei ! Comprei gato por lebre;13/12/2017 0:00;16/12/2017 7:14;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('2c5e27fc178bde7ac173c9c62c31b070','0ce9a24111d850192a933fcaab6fbad3','1','','Não gostei ! Comprei gato por lebre','13/12/2017','16/12/2017')
540e7bbb2d06cfb7f85f3a88ba7ac97f;cf73e2cb1f4a9480ed70c154da3d954a;5;;;18/01/2018 0:00;18/01/2018 19:12;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('540e7bbb2d06cfb7f85f3a88ba7ac97f','cf73e2cb1f4a9480ed70c154da3d954a','5','','','18/01/2018','18/01/2018')
6a18a4001ae7fd911b3b9fb13686d105;8ba3f3a9292fbc22a8b7dff752bbcd37;5;;;19/07/2017 0:00;20/07/2017 10:38;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('6a18a4001ae7fd911b3b9fb13686d105','8ba3f3a9292fbc22a8b7dff752bbcd37','5','','','19/07/2017','20/07/2017')
58044bca115705a48fe0e00a21390c54;68e55ca79d04a79f20d4bfc0146f4b66;1;;Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.;08/04/2018 0:00;09/04/2018 12:22;;;;INSERT INTO  (review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp) VALUES ('58044bca115705a48fe0e00a21390c54','68e55ca79d04a79f20d4bfc0146f4b66','1','','Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.','08/04/2018','09/04/2018')
