product_category_name,product_category_name_english;;;;;;product_category_name;product_category_name_english;;id;product_category_name;;
beleza_saude,health_beauty;;;;;;beleza_saude;health_beauty;;001;beleza_saude;;001,beleza_saude
informatica_acessorios,computers_accessories;;;;;;informatica_acessorios;computers_accessories;;002;informatica_acessorios;;002,informatica_acessorios
automotivo,auto;;;;;;automotivo;auto;;003;automotivo;;003,automotivo
cama_mesa_banho,bed_bath_table;;;;;;cama_mesa_banho;bed_bath_table;;004;cama_mesa_banho;;004,cama_mesa_banho
moveis_decoracao,furniture_decor;;;;;;moveis_decoracao;furniture_decor;;005;moveis_decoracao;;005,moveis_decoracao
esporte_lazer,sports_leisure;;;;;;esporte_lazer;sports_leisure;;006;esporte_lazer;;006,esporte_lazer
perfumaria,perfumery;;;;;;perfumaria;perfumery;;007;perfumaria;;007,perfumaria
utilidades_domesticas,housewares;;;;;;utilidades_domesticas;housewares;;008;utilidades_domesticas;;008,utilidades_domesticas
telefonia,telephony;;;;;;telefonia;telephony;;009;telefonia;;009,telefonia
relogios_presentes,watches_gifts;;;;;;relogios_presentes;watches_gifts;;010;relogios_presentes;;010,relogios_presentes
alimentos_bebidas,food_drink;;;;;;alimentos_bebidas;food_drink;;011;alimentos_bebidas;;011,alimentos_bebidas
bebes,baby;;;;;;bebes;baby;;012;bebes;;012,bebes
papelaria,stationery;;;;;;papelaria;stationery;;013;papelaria;;013,papelaria
tablets_impressao_imagem,tablets_printing_image;;;;;;tablets_impressao_imagem;tablets_printing_image;;014;tablets_impressao_imagem;;014,tablets_impressao_imagem
brinquedos,toys;;;;;;brinquedos;toys;;015;brinquedos;;015,brinquedos
telefonia_fixa,fixed_telephony;;;;;;telefonia_fixa;fixed_telephony;;016;telefonia_fixa;;016,telefonia_fixa
ferramentas_jardim,garden_tools;;;;;;ferramentas_jardim;garden_tools;;017;ferramentas_jardim;;017,ferramentas_jardim
fashion_bolsas_e_acessorios,fashion_bags_accessories;;;;;;fashion_bolsas_e_acessorios;fashion_bags_accessories;;018;fashion_bolsas_e_acessorios;;018,fashion_bolsas_e_acessorios
eletroportateis,small_appliances;;;;;;eletroportateis;small_appliances;;019;eletroportateis;;019,eletroportateis
consoles_games,consoles_games;;;;;;consoles_games;consoles_games;;020;consoles_games;;020,consoles_games
audio,audio;;;;;;audio;audio;;021;audio;;021,audio
fashion_calcados,fashion_shoes;;;;;;fashion_calcados;fashion_shoes;;022;fashion_calcados;;022,fashion_calcados
cool_stuff,cool_stuff;;;;;;cool_stuff;cool_stuff;;023;cool_stuff;;023,cool_stuff
malas_acessorios,luggage_accessories;;;;;;malas_acessorios;luggage_accessories;;024;malas_acessorios;;024,malas_acessorios
climatizacao,air_conditioning;;;;;;climatizacao;air_conditioning;;025;climatizacao;;025,climatizacao
construcao_ferramentas_construcao,construction_tools_construction;;;;;;construcao_ferramentas_construcao;construction_tools_construction;;026;construcao_ferramentas_construcao;;026,construcao_ferramentas_construcao
